site_id,n1,n2,n3,n4,n5
970,2846,3685,,
3685,970,2000,,
2000,3685,3682,4043,
3682,3126,3804,,
3126,3682,3127,,
2200,4063,,,
3127,3126,3122,4063,
4063,4034,2200,4057,3127
4057,4063,3180,4032,
3180,4057,4051,,
2846,970,,,
4273,4043,4272,,
4043,4273,2000,,
3812,3804,4040,,
3804,3682,4040,3122,3812
4040,3120,3804,4043,4272,3812
4272,4040,4273,4270,
4270,4264,4272,4812,
4812,4270,,,
4262,3001,4263,,
4263,3002,4262,4264,
4264,4263,4270,4266,
4266,4264,,,
3122,3127,3120,3804,
3120,3122,4040,4035,
4035,4034,3120,,
4034,4035,4032,4063,4324
4324,4034,4264,,
4821,3001,,,
3001,4262,3662,3002,
3002,3001,3662,4263,
3662,4335,3001,3002,2820
4335,3662,4321,,
2820,3662,4321,,
4321,2820,4032,4335,4030
4032,4321,4030,4057,4034
4030,2825,4051,4032,4321
4051,2827,3180,4030,
2825,4030,,,
2827,4051,,,